id,food,serving,unit,calories,protein,carbs,fat,source
#
apple
asparagus
avocado
bellpepper-green
bellpepper-red
bellpepper-yellow
peanutbutter
nutella
bagel
banana
pear
blackberry
strawberry
blueberry
kiwi
mango
orange
pineapple
pineapple
broccoli
butter
oil-olive
chicken-breast
chicken-thigh
chicken-wing
chicken-ground
turkey-breast
turkey-sausage
beef-steaksirloin
beef-steakribeye
beef-filemignon
pork-chop
pork-tenderloin
pork-ground
pork-bacon
pork-ham
pork-sausage
salmon
tilapia
shrimp
tuna-can
corn
oil-vegetable
egg-white
egg-brown
eggwhite
quinoa
ketchup
sauce-soy
sriracha-mayonnaise
mayonnaise
mustard
carrot
onion
sweet-potato
potato
sardines-inwater
sardines-inoil
zucchini
cream cheese
sauce-marinara
sauce-tomatobasil
sauce-alfredo
sauce-alfredofourcheese
sauce-alfredoroastedgarlic
sauce-pesto
rice-white
rice-brown
rice-basmati
rice-jasmine
rice-cauliflower
rice-wild
milk-whole
milk-2pc
milk-1pc
milk-skim
milk-fatfree
milk-lactosefree
milk-almond
milk-oat
milk-soy
milk-coconut
granola-original
granola-honey
granola-fruitandnut
beans-black
beans-pinto
beans-green
beans-chickpeas
bread-burgerbun
bread-hotdogbun
bread-white
bread-wholewheat
bread-multigrain
bread-sourdough
bread-glutenfree
spinach
tomato
eggplant
mushroom
beef-steak
proteinpowder-gold,Optimum Nutrition Gold Standard Whey
proteinpowder-iso100,Dymatize ISO100
proteinpowder-isoflex,Allmax Isoflex
proteinpowder-impact,MyProtein Impact Whey
proteinpowder-ghost,Ghost Whey
proteinbar-clifog
proteinbar-clifbuilders
proteinbar-clifluna
proteinbar-quest
proteinbar-barbells
proteinbar-grenade
proteinbar-rx
proteinbar-one
proteinbar-built
proteinbar-builtpuff
tortilla-flour6
tortilla-flour8
tortilla-flour10
tortilla-wheat8
tortilla-corn6
tortilla-lowcarb8
trout-raw
cod-raw
